Date,Close
1/14/19,296.65
1/15/19,294.93
1/16/19,292.15
1/17/19,291.75
1/18/19,284.32
1/19/19,292
1/20/19,292
1/21/19,288.27
1/22/19,289.64
1/23/19,292.24
1/24/19,292.31
1/25/19,293.25
1/26/19,293.78
1/27/19,293.4
1/28/19,294.67
1/29/19,293.95
1/30/19,291.85
1/31/19,290.56
2/1/19,288.9
2/2/19,289.09
2/3/19,284
2/4/19,285.12
2/5/19,288.57
2/6/19,287.36
2/7/19,286.47
2/8/19,285.11
2/9/19,285.91
2/10/19,288.02
2/11/19,285.1
2/12/19,282.89
2/13/19,284.18
2/14/19,285.47
2/15/19,282.4
2/16/19,281.75
2/17/19,270.75
2/18/19,273.4
2/19/19,278.01
2/20/19,279.41
2/21/19,275.51
2/22/19,274.85
2/23/19,275.75
2/24/19,281.03
2/25/19,286.03
2/26/19,291.6
2/27/19,295.78
2/28/19,297.1
3/1/19,373.16
3/2/19,371.96
3/3/19,363.01
3/4/19,368.66
3/5/19,366.67
3/6/19,347.86
3/7/19,339.46
3/8/19,347.52
3/9/19,339.47
3/10/19,341.89
3/11/19,333.03
3/12/19,336.41
3/13/19,336.67
3/14/19,343.95
3/15/19,332.66
3/16/19,317.11
3/17/19,316.63
3/18/19,286.32
3/19/19,298.74
3/20/19,290
3/21/19,323.14
3/22/19,299.95
3/23/19,323.87
3/24/19,343.56
3/25/19,321.45
3/26/19,338.51
3/27/19,338.74
3/28/19,346.75
3/29/19,324.07
3/30/19,333.77
3/31/19,333.45
4/1/19,328.23
4/2/19,338.52
4/3/19,333.96
4/4/19,343.83
4/5/19,343.64
4/6/19,355.14
4/7/19,358.26
4/8/19,354.62
4/9/19,360.47
4/10/19,362.97
4/11/19,370.48
4/12/19,365.22
4/13/19,383.75
4/14/19,369.64
4/15/19,367.29
4/16/19,362.03
4/17/19,356.01
4/18/19,362.01
4/19/19,361.93
4/20/19,357.3
4/21/19,359.1
4/22/19,371.46
4/23/19,372.3
4/24/19,367.17
4/25/19,369.11
4/26/19,377.49
4/27/19,377.94
4/28/19,384.96
4/29/19,376.01
4/30/19,376.04
5/1/19,364.5
5/2/19,370.01
5/3/19,377.24
5/4/19,375.24
5/5/19,372.1
5/6/19,360.16
5/7/19,373.97
5/8/19,365.55
5/9/19,385.84
5/10/19,383.58
5/11/19,384.86
5/12/19,390.14
5/13/19,382.78
5/14/19,376.41
5/15/19,375.82
5/16/19,382.22
5/17/19,392.32
5/18/19,382.79
5/19/19,378.15
5/20/19,377.92
5/21/19,374.86
5/22/19,380.67
5/23/19,375.55
5/24/19,378.41
5/25/19,384.63
5/26/19,377.55
5/27/19,375.48
5/28/19,373.7
5/29/19,365.81
5/30/19,369.17
5/31/19,369.44
6/1/19,375.71
6/2/19,374.09
6/3/19,385
6/4/19,381.14
6/5/19,384.14
6/6/19,385.5
6/7/19,398.31
6/8/19,401.38
6/9/19,402.3
6/10/19,413.68
6/11/19,407.52
6/12/19,390.22
6/13/19,391.43
6/14/19,387.81
6/15/19,389.12
6/16/19,381.32
6/17/19,386.91
6/18/19,389.61
6/19/19,385.42
6/20/19,385.15
6/21/19,384.53
6/22/19,386.61
6/23/19,387.03
6/24/19,391.86
6/25/19,393.44
6/26/19,392.55
6/27/19,389.12
6/28/19,385.93
6/29/19,388.65
6/30/19,392.67
7/1/19,399.04
7/2/19,398.99
7/3/19,409.39
7/4/19,411.45
7/5/19,414.23
7/6/19,418.33
7/7/19,419.7
7/8/19,418.99
7/9/19,419.36
7/10/19,418.09
7/11/19,416.32
7/12/19,415.98
7/13/19,408.96
7/14/19,410.15
7/15/19,403.6
7/16/19,397.5
7/17/19,381.81
7/18/19,376.32
7/19/19,382.07
7/20/19,388.97
7/21/19,394.68
